team1,team2,toss_winner,toss_decision,venue,winner
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,Kolkata Knight Riders
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,MA Chidambaram Stadium,Chennai Super Kings
Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Rajiv Gandhi International Stadium,Punjab Kings
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Feroz Shah Kotla,Sunrisers Hyderabad
Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Cricket Association Stadium,Punjab Kings
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Mumbai Indians
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Eden Gardens,Royal Challengers Bengaluru
Delhi Capitals,Punjab Kings,Punjab Kings,field,Feroz Shah Kotla,Delhi Capitals
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Rajiv Gandhi International Stadium,Mumbai Indians
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Feroz Shah Kotla,Royal Challengers Bengaluru
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Feroz Shah Kotla,Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,Rajasthan Royals
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,MA Chidambaram Stadium,Chennai Super Kings
Mumbai Indians,Punjab Kings,Punjab Kings,field,Wankhede Stadium,Mumbai Indians
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Rajiv Gandhi International Stadium,Kolkata Knight Riders
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,MA Chidambaram Stadium,Chennai Super Kings
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Rajiv Gandhi International Stadium,Delhi Capitals
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,M Chinnaswamy Stadium,Royal Challengers Bengaluru
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Eden Gardens,Kolkata Knight Riders
Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Wankhede Stadium,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium,Chennai Super Kings
Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Cricket Association Stadium,Punjab Kings
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sawai Mansingh Stadium,Royal Challengers Bengaluru
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,MA Chidambaram Stadium,Chennai Super Kings
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Royal Challengers Bengaluru
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Wankhede Stadium,Sunrisers Hyderabad
Punjab Kings,Delhi Capitals,Delhi Capitals,field,Himachal Pradesh Cricket Association Stadium,Punjab Kings
Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,bat,Himachal Pradesh Cricket Association Stadium,Punjab Kings
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Wankhede Stadium,Rajasthan Royals
Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Himachal Pradesh Cricket Association Stadium,Sunrisers Hyderabad
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Royal Challengers Bengaluru
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Eden Gardens,Mumbai Indians
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Chennai Super Kings
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,MA Chidambaram Stadium,Royal Challengers Bengaluru
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,MA Chidambaram Stadium,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,MA Chidambaram Stadium,Mumbai Indians
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Eden Gardens,Delhi Capitals
Rajasthan Royals,Punjab Kings,Punjab Kings,field,Sawai Mansingh Stadium,Rajasthan Royals
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,M Chinnaswamy Stadium,Royal Challengers Bengaluru
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,Rajasthan Royals
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Kolkata Knight Riders
Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Feroz Shah Kotla,Delhi Capitals
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Wankhede Stadium,Mumbai Indians
Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,MA Chidambaram Stadium,Chennai Super Kings
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Eden Gardens,Kolkata Knight Riders
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Eden Gardens,Punjab Kings
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,bat,M Chinnaswamy Stadium,Rajasthan Royals
Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Wankhede Stadium,Delhi Capitals
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sawai Mansingh Stadium,Rajasthan Royals
Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Punjab Cricket Association Stadium,Kolkata Knight Riders
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Feroz Shah Kotla,Delhi Capitals
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Punjab Cricket Association Stadium,Royal Challengers Bengaluru
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,MA Chidambaram Stadium,Chennai Super Kings
Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Wankhede Stadium,Punjab Kings
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Barabati Stadium,Kolkata Knight Riders
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,field,Sawai Mansingh Stadium,Royal Challengers Bengaluru
